granular|['grænjulə(r)]| a.粒状的
slope|[sləup]|  n.倾斜,斜坡,斜率,掮枪的姿势vt.使倾斜,弄斜,掮vi.倾斜,逃走
tow|[təu]|  n.拖,拖曳所用之绳,麻的粗纤维vt.拖,曳,牵引
destined|['destind]| a.注定的
client|['klaiənt]| n.委托人，当事人; 顾客
ductile|['dʌktl]| a.易延展的,柔软的,易教导的
gleam|[gli:m]|  n.微弱的闪光,瞬息的一现vi.闪烁,隐约地闪现vt.使发微光,使闪烁
pilferage|['pilfəridʒ]| n.1 小窃行为,小盗窃2 (U)失窃之损失;失窃品
conform|[kən'fɔ:m]| vi.遵守，符合; 适应
contaminate|[kən'tæmineit]| vt.弄污,弄脏,毒害,传染,染污
fiber|['faibə]| n.纤维; 光纤
vivid|['vivid]| a.生动的,鲜明的,鲜艳的,清晰的,逼真的,活泼的
satellite|['sætəlait]|  n.卫星; 人造卫星
nourish|['nʌriʃ]| vt.滋养; 养育
relieved|[ri'li:vd]| adj.宽心的
frown|[fraun]|  n.皱眉vi.皱眉头vt.皱眉表示
